	OBJECTID	NatlDBNum	ConfCode	SpeciesID	ComName	Genus	Species	County	State	WaterBody	LatAcc	LongAcc	ObsDay	ObsStatus	SpeciesCategory	x	y	spatialReference	Date	lat	lon
219	24076	NE-2001-1033267	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Plymouth	MA	Atlantic Ocean			1	Moderate Decomposition	Humpback Whale	-7862866.699327155	5165973.923760251	102100	2001-MAY-20	42.03333333000006	-70.63333332999997
220	6231	NE-2016-1189856	Confirmed - High	7	Whale, humpback	Megaptera	novaeangliae	Plymouth	MA	Massachusetts Bay	estimate	estimate	25	Moderate Decomposition	Humpback Whale	-7863923.975115274	5168381.149840531	102100	2016-APR-25	42.049393000000066	-70.64283099999993
221	3539	NE-2018-1205822	Confirmed - High	7	Whale, humpback	Megaptera	novaeangliae	Norfolk	MA	Massachusetts Bay	actual	actual	7	Moderate Decomposition	Humpback Whale	-7882129.053320117	5199864.715652719	102100	2018-SEP-07	42.25906000000005	-70.80636999999996
222	13595	NE-2010-1116290	Confirmed - Medium	7	Whale, humpback	Megaptera	novaeangliae	Norfolk	MA	Massachusetts Bay	estimate	estimate	26	Advanced Decomposition	Humpback Whale	-7884202.935433598	5200607.7653212035	102100	2018-MAY-18	42.264000000000074	-70.82499999999997
223	14053	NE-2009-1106707	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Norfolk	MA	Massachusetts Bay	estimate	estimate	13	Condition Unknown	Humpback Whale	-7868061.609268571	5201510.333102437	102100	2009-SEP-13	42.270000000000046	-70.67999999999995
224	1376	NE-2019-1218288	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Barnstable	MA		actual	actual	4	Moderate Decomposition	Humpback Whale	-7843416.58720185	5204980.001828356	102100	2019-MAY-04	42.293060000000025	-70.45860999999996
225	3538	NE-2018-1205832	Confirmed - High	7	Whale, humpback	Megaptera	novaeangliae	Suffolk	MA	Massachusetts Bay	actual	actual	17	Moderate Decomposition	Humpback Whale	-7871911.705177146	5217541.616256076	102100	2018-SEP-17	42.376476000000025	-70.71458599999994
226	16421	NE-2007-1069025	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Barnstable	MA	Atlantic Ocean	actual	actual	24	Moderate Decomposition	Humpback Whale	-7819003.1096759755	5185968.077249577	102100	2007-JUN-24	42.16660000000008	-70.23929999999994
227	13218	NE-2010-1122667	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Barnstable	MA	Atlantic Ocean	actual	actual	9	Moderate Decomposition	Humpback Whale	-7825925.289571974	5185732.283449083	102100	2010-SEP-09	42.16503000000006	-70.30148299999996
228	623	NE-2019-1226590	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Floater	MA	Atlantic Ocean	estimate	estimate	29	Moderate Decomposition	Humpback Whale	-7799607.246878118	5236730.792384137	102100	2019-MAY-29	42.503689000000065	-70.06506399999995
