	OBJECTID	NatlDBNum	ConfCode	SpeciesID	ComName	Genus	Species	County	State	WaterBody	LatAcc	LongAcc	ObsDay	ObsStatus	SpeciesCategory	x	y	spatialReference	Date	lat	lon
295	21967	NE-2003-1052529	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			17	Fresh Dead	Humpback Whale	-7442264.556984301	5112916.412555844	102100	2003-JUN-17	41.67833300000007	-66.85499999999996
296	15380	NE-2008-1080591	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Floater	MA	Atlantic Ocean	actual	actual	30	Moderate Decomposition	Humpback Whale	-7434905.225447959	5120247.264649966	102100	2008-JUN-30	41.72750000000007	-66.78888999999998
297	17510	NE-2006-1061433	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	22	Moderate Decomposition	Humpback Whale	-7437997.235624229	5123603.90966162	102100	2006-AUG-22	41.75000000000006	-66.81666599999994
298	15613	NE-2008-1078631	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	9	Moderate Decomposition	Humpback Whale	-7436512.6788950125	5124100.793054089	102100	2008-JUN-09	41.753330000000055	-66.80332999999996
299	17269	NE-2006-1062773	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	21	Moderate Decomposition	Humpback Whale	-7450984.546656608	5022179.862115617	102100	2006-NOV-21	41.06666600000006	-66.93333299999995
300	20756	NE-2004-1041771	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	10	Moderate Decomposition	Humpback Whale	-7449871.388484106	5052495.394119166	102100	2004-AUG-10	41.27166667000005	-66.92333332999993
301	21983	NE-2003-1049831	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	3	Moderate Decomposition	Humpback Whale	-7454324.168115839	5067070.718183053	102100	2003-JUL-03	41.37000000000004	-66.96333332999995
302	21981	NE-2003-1049835	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	3	Moderate Decomposition	Humpback Whale	-7456179.49333346	5081172.901300235	102100	2003-JUL-03	41.465000000000025	-66.97999999999996
303	22405	NE-2003-1034528	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			28	Advanced Decomposition	Humpback Whale	-7443006.687293989	5097031.578225433	102100	2003-JUL-28	41.57166667000007	-66.86166666999998
304	15379	NE-2008-1080593	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	11	Moderate Decomposition	Humpback Whale	-7436141.984990669	5098767.211848268	102100	2008-JUL-11	41.583330000000046	-66.79999999999995
305	15378	NE-2008-1080595	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	11	Advanced Decomposition	Humpback Whale	-7426865.731822868	5113661.214764915	102100	2008-JUL-11	41.683330000000076	-66.71666999999998
306	21982	NE-2003-1049833	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	3	Moderate Decomposition	Humpback Whale	-7421855.984043268	5079935.042310283	102100	2003-JUL-03	41.45666667000007	-66.67166666999998
307	22403	NE-2003-1034530	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			28	Advanced Decomposition	Humpback Whale	-7383636.291462111	5110184.376415234	102100	2003-JUL-28	41.660000000000025	-66.32833332999996
308	24469	NE-2003-1034531	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			28	Moderate Decomposition	Humpback Whale	-7394749.688035101	5130121.646931979	102100	2003-JUL-28	41.79366667000004	-66.42816666999994
309	21976	NE-2003-1049849	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	30	Fresh Dead	Humpback Whale	-7407013.384528697	5149252.703844568	102100	2003-JUL-30	41.92166667000003	-66.53833332999993
310	21977	NE-2003-1049847	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	29	Moderate Decomposition	Humpback Whale	-7432060.269957186	5155738.0547818	102100	2003-JUL-29	41.96500000000003	-66.76333332999995
