,OBJECTID,NatlDBNum,ConfCode,SpeciesID,ComName,Genus,Species,County,State,WaterBody,LatAcc,LongAcc,ObsDay,ObsStatus,SpeciesCategory,x,y,spatialReference,Date,lat,lon,Year,Carcass Condition,Country,Field Number,Month,Sex
224,4310.0,NE-2017-1204065,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,floater,MA,Atlantic Ocean,actual,actual,6.0,Advanced Decomposition,Humpback Whale,-7854918.11699061,5030804.04436589,102100.0,2017-JUL-06,41.125050000000044,-70.56192999999996,20170706,,,,,
225,4310.0,NE-2017-1204065,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,floater,MA,Atlantic Ocean,actual,actual,6.0,Advanced Decomposition,Humpback Whale,-7854918.11699061,5030804.04436589,102100.0,2017-JUL-06,41.125050000000044,-70.56192999999996,20170706,,,,,
226,4283.0,NE-2017-1211869,Confirmed - Minimum,7.0,"Whale, humpback",Megaptera,novaeangliae,floater,MA,Atlantic Ocean,,,6.0,Advanced Decomposition,Humpback Whale,-7875730.285424681,5050232.837684327,102100.0,2017-JUL-06,41.25638889000004,-70.74888888999992,20170706,,,,,
227,20301.0,NE-2004-1043475,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,unknown,EZ,Atlantic Ocean,estimate,estimate,12.0,Condition Unknown,Humpback Whale,-7792364.3555291435,5160979.44404979,102100.0,2017-JUL-25,42.00000000000005,-69.99999999999993,20170725,,,,,
228,5057.0,NE-2017-1198956,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,ATLANTIC,actual,actual,27.0,Moderate Decomposition,Humpback Whale,-7776740.664996312,5125889.637500848,102100.0,2017-JUL-27,41.765317000000046,-69.85964999999999,20170727,,,,,
229,4281.0,NE-2017-1211871,Confirmed - Minimum,7.0,"Whale, humpback",Megaptera,novaeangliae,nantucket,MA,Atlantic Ocean,,,8.0,Advanced Decomposition,Humpback Whale,-7799104.639377189,5048404.864858378,102100.0,2017-AUG-08,41.24404300000003,-70.06054899999998,20170808,,,,,
230,4901.0,NE-2017-1199649,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,washington,RI,Atlantic Ocean,actual,actual,5.0,Moderate Decomposition,Humpback Whale,-7965361.523391337,5034756.500417534,102100.0,2017-SEP-05,41.15179000000006,-71.55405999999992,20170905,,,,,
231,4782.0,NE-2017-1199865,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,washington,RI,Atlantic Ocean,estimate,estimate,1.0,Advanced Decomposition,Humpback Whale,-7957629.271560837,5058767.498761866,102100.0,2017-OCT-01,41.31400000000008,-71.48459999999993,20171001,,,,,
232,4782.0,NE-2017-1199865,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,washington,RI,Atlantic Ocean,estimate,estimate,1.0,Advanced Decomposition,Humpback Whale,-7957629.271560837,5058767.498761866,102100.0,2017-OCT-01,41.31400000000008,-71.48459999999993,20171001,,,,,
233,4306.0,NE-2017-1204069,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,eez,NY,Atlantic Ocean,actual,actual,20.0,Fresh Dead,Humpback Whale,-8067323.497788533,4959385.886084273,102100.0,2017-OCT-20,40.64000000000004,-72.46999999999997,20171020,,,,,
