ObjectID,Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Country,State/Province,County,Field Number
20,"October 27, 2016",2016,Oct,33.84367,-77.96867,"Whale, humpback",Female,Fresh Dead,USA,NC,Brunswick,WAM714
21,"October 28, 2016",2016,Oct,39.717316,-75.518067,"Whale, humpback",Female,Moderate Decomposition,USA,DE,New Castle,MERRCA1538Mn
22,"November 18, 2016",2016,Nov,40.398667,-73.834333,"Whale, humpback",Unk,Moderate Decomposition,USA,NJ,EEZ,NMFSGAR111816Mn
23,"November 23, 2016",2016,Nov,40.7901,-72.7397,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Suffolk,NY5541-2016
24,"December 8, 2016",2016,Dec,42.073416667,-70.12316667,"Whale, humpback",Female,Moderate Decomposition,USA,MA,Barnstable,IFAW16-227Mn
25,"December 11, 2016",2016,Dec,37.643056,-76.123056,"Whale, humpback",Unk,Fresh Dead,USA,VA,Northumberland,VAQS20161078
26,"December 19, 2016",2016,Dec,36.53208,-75.864238,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Currituck,KLC266
27,"January 12, 2017",2017,Jan,39.469517,-74.300101,"Whale, humpback",Male,Fresh Dead,USA,NJ,Atlantic,MMSC-17-002
28,"January 16, 2017",2017,Jan,36.1187582,-75.7204116,"Whale, humpback",Female,Advanced Decomposition,USA,NC,Dare,KLC268
29,"January 24, 2017",2017,Jan,37.29159,-76.01563,"Whale, humpback",Male,Advanced Decomposition,USA,VA,Northampton,VAQS20171004
30,"January 26, 2017",2017,Jan,34.71946,-76.44694,"Whale, humpback",Female,Fresh Dead,USA,NC,Carteret,CALO17-02
31,"February 2, 2017",2017,Feb,36.9991,-76.318,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Hampton,VAQS20171005
32,"February 5, 2017",2017,Feb,37.112983,-76.07425,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Northampton,VAQS20171006
33,"February 11, 2017",2017,Feb,39.358997,-75.356589,"Whale, humpback",Unk,Moderate Decomposition,USA,NJ,Cumberland,MMSC-17-008
34,"February 11, 2017",2017,Feb,36.949316,-76.030037,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Virginia Beach,VAQS20171007
35,"February 17, 2017",2017,Feb,35.983444,-75.166861,"Whale, humpback",Unk,Moderate Decomposition,USA,NC,Dare,NCUR20170217
36,"February 20, 2017",2017,Feb,38.0706,-74.9735,"Whale, humpback",Unk,Moderate Decomposition,USA,MD,Worcester,17-MNO-02
37,"February 25, 2017",2017,Feb,37.857323,-75.371567,"Whale, humpback",Unk,Advanced Decomposition,USA,VA,Accomack,VAQS20171008
38,"March 17, 2017",2017,Mar,35.30663,-75.51,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Dare,CAHA391
39,"March 24, 2017",2017,Mar,35.62302,-75.46765,"Whale, humpback",Unk,Advanced Decomposition,USA,NC,Dare,CAHA392
40,"April 1, 2017",2017,Apr,35.48011,-75.47974,"Whale, humpback",Male,Moderate Decomposition,USA,NC,Dare,CAHA393
41,"April 3, 2017",2017,Apr,40.576225,-73.8362,"Whale, humpback",Male,Moderate Decomposition,USA,NY,Queens,AMCS20Mn2017
42,"April 23, 2017",2017,Apr,39.181077,-75.403408,"Whale, humpback",Unk,Advanced Decomposition,USA,DE,New Castle,MERRST1547Mn
