Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,F14,x,y
2/20/2017,2017,Feb,38.0706,-74.9735,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MD,Worcester,17-MNO-02,,-74.97349999999994,38.07060000000007
2/25/2017,2017,Feb,37.857323,-75.371567,"Whale, humpback",Unk,Advanced Decomposition,No,USA,VA,Accomack,VAQS20171008,,-75.37156699999997,37.857323000000065
3/17/2017,2017,Mar,35.30663,-75.51,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Dare,CAHA391,,-75.50999999999993,35.30663000000004
3/24/2017,2017,Mar,35.62302,-75.46765,"Whale, humpback",Unk,Advanced Decomposition,No,USA,NC,Dare,CAHA392,,-75.46764999999994,35.623020000000054
4/1/2017,2017,Apr,35.48011,-75.47974,"Whale, humpback",Male,Moderate Decomposition,No,USA,NC,Dare,CAHA393,,-75.47973999999994,35.480110000000025
4/3/2017,2017,Apr,40.576225,-73.8362,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Queens,AMCS20Mn2017,,-73.83619999999996,40.57622500000008
4/23/2017,2017,Apr,39.181077,-75.403408,"Whale, humpback",Unk,Advanced Decomposition,No,USA,DE,New Castle,MERRST1547Mn,,-75.40340799999996,39.18107700000007
5/4/2017,2017,May,38.734638,-75.07848,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,DE,Sussex,MERR-ST1580Mn,,-75.07847999999996,38.734638000000075
5/17/2017,2017,May,36.8724,-75.4349,"Whale, humpback",Unk,Moderate Decomposition,No,USA,Va,EEZ,VAQS20171049,,-75.43489999999997,36.87240000000003
6/3/2017,2017,Jun,39.6293,-73.9746,"Whale, humpback",Unk,Fresh Dead,No,USA,NJ,Ocean,MMSC-17-092,,-73.97459999999995,39.62930000000006
6/15/2017,2017,Jun,41.4545,-71.40061,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,RI,Newport,SxMn1746,,-71.40060999999997,41.45450000000005
6/18/2017,2017,Jun,41.59985,-69.9836,"Whale, humpback",Male,Fresh Dead,Yes,USA,MA,Barnstable,IFAW17-270Mn,,-69.98359999999997,41.59985000000006
